date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:53:18	56467/56467	---M-Z	200	added ('OK')	text/html	etag:%22dc93-63518736-d64535d2cc741a8e;gz%22	https://marketifythemes.net/html/tokyo/index-dark.html	C:/My%20Web%20Sites/portfolio/marketifythemes.net/html/tokyo/index-dark.html	(from )
14:53:19	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-60c22e1c-18340aba16a61863;gz%22	https://marketifythemes.net/robots.txt		(from )
14:53:20	263663/263663	---M-Z	200	added ('OK')	text/css	etag:%22405ef-63518738-47d8382a1e300c5f;gz%22	https://marketifythemes.net/html/tokyo/css/plugins.css	C:/My%20Web%20Sites/portfolio/marketifythemes.net/html/tokyo/css/plugins.css	(from https://marketifythemes.net/html/tokyo/index-dark.html)
14:53:21	10385/10385	---M-Z	200	added ('OK')	text/css	etag:%222891-63518737-531737b488fe541a;gz%22	https://marketifythemes.net/html/tokyo/css/dark.css	C:/My%20Web%20Sites/portfolio/marketifythemes.net/html/tokyo/css/dark.css	(from https://marketifythemes.net/html/tokyo/index-dark.html)
14:53:21	56964/56964	---M-Z	200	added ('OK')	text/css	etag:%22de84-63518737-476b471a816f1cb0;gz%22	https://marketifythemes.net/html/tokyo/css/style.css	C:/My%20Web%20Sites/portfolio/marketifythemes.net/html/tokyo/css/style.css	(from https://marketifythemes.net/html/tokyo/index-dark.html)
14:53:22	989/989	---M--	200	added ('OK')	image/png	date:Wed,%2005%20Mar%202025%2009:23:22%20GMT	https://marketifythemes.net/html/tokyo/img/logo/logo.png	C:/My%20Web%20Sites/portfolio/marketifythemes.net/html/tokyo/img/logo/logo.png	(from https://marketifythemes.net/html/tokyo/index-dark.html)
14:53:24	144558/144558	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Mar%202025%2009:23:23%20GMT	https://marketifythemes.net/html/tokyo/img/slider/1.jpg	C:/My%20Web%20Sites/portfolio/marketifythemes.net/html/tokyo/img/slider/1.jpg	(from https://marketifythemes.net/html/tokyo/index-dark.html)
14:53:25	37713/37713	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Mar%202025%2009:23:24%20GMT	https://marketifythemes.net/html/tokyo/img/cv/1.jpg	C:/My%20Web%20Sites/portfolio/marketifythemes.net/html/tokyo/img/cv/1.jpg	(from https://marketifythemes.net/html/tokyo/index-dark.html)
14:53:25	507/507	---M-Z	200	added ('OK')	image/svg+xml	etag:%221fb-6351873b-68c5dd7fedf3a611;gz%22	https://marketifythemes.net/html/tokyo/img/svg/rightarrow.svg	C:/My%20Web%20Sites/portfolio/marketifythemes.net/html/tokyo/img/svg/rightarrow.svg	(from https://marketifythemes.net/html/tokyo/index-dark.html)
14:53:26	14901/14901	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Mar%202025%2009:23:26%20GMT	https://marketifythemes.net/html/tokyo/img/testimonials/1.jpg	C:/My%20Web%20Sites/portfolio/marketifythemes.net/html/tokyo/img/testimonials/1.jpg	(from https://marketifythemes.net/html/tokyo/index-dark.html)
